product_id,product_title,rating,summary,review,location,date,upvotes,downvotes
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Super!,Best Earphone i have ever used Because  Quality of the Sound is awesome so Balanced and you can experience Classy BASS is here . Also Build quality is Interesting The Black nd Yellow Work is Awesome I really Like it.Mic Quality Is so Good and that is inline and Magnetic buds are usefull like Neckband Using while Travelling 😘❤️,Thirumittacode,"May, 2021",567,65
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Worth every penny,"Comparison Between Boat 225 , Realme Buds 2, Sennheiser CX 180Bass:-#1 Realme Buds 2 (Excellent Extra Bass)#2 Boat 225 ( It has also a good extra bass but not good as Realme Buds 2)#3 Sennheiser CX 180( it has no extra bass but the bass is just perfect when it required u feels a great bass)Build:-#1 Boat 225 ( boat is clearly winner on its build quality it feels more premiums than other two with its metal build and tangle free wire)#2 Realme Buds 2 ( It has also have a great build...",Kanke,"Jul, 2020",2096,282
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Classy product,"outstanding product  best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌",Sangli District,"Jan, 2020",4602,735
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Terrific,Unbelievable bass And very clear audio ear protection very strong I really prefer to purchase this fantastic realme buds thank you very much realme,Fatahnagar,"Mar, 2020",2580,466
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Terrific purchase,The build quality is really good and the design also looks great. The magnets of earbuds are also really useful. The best part is the cable organizer which is really useful. The bass is good and the sound quality is also good you will not be disappointed buying this product at this price. The call quality is also good and the placement of buttons is very functional and useful. Buy without any doubt.,Koregaon,"May, 2020",2616,532
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Terrific,"woww fantastic experience 😍 👍 and mainly discuss about this earphones is built quality is awesome 👌👍im fully satisfied with this earphones 👌👌👍   prons 1. built quality is awesome2. sound quality is just super 3. bass , treble,mid ranges are just good4. long and comfortable cable cons 1. missed L shape jackfinally my overall rating is 9.6 /10",Kondapalli,"Jan, 2020",876,189
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Mind-blowing purchase,It's a great product according to the price and its sound quality and bass is perfect.Realme Buds 2 really its a great headphone.In this price range best headphone ever.❤️,Durgapur,"May, 2020",405,81
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,4,Pretty good,The best value for money product and also the  build quality is good and lite wait and I also like that yellow strip it's very useful,Vyara,"Jun, 2020",172,32
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Excellent,nice earphones with smooth sound. even the build quality is best . this earphone is better for bass lover . and also  for smooth playback,Mumbai,"Jan, 2020",591,138
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Brilliant,"Nice product , nice quality , great buss, I love it",Ranaghat,"May, 2020",305,75
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Great product,"Sound quality is really good... Better than boat bass 200,225.. i have used many earphones like JBL , Skullcandy,boat,bout,leaf,bose,sony etc.. but i fell this is also good as leaf bolt ...  I love it😍..",Bengaluru,"Jan, 2020",155,36
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Simply awesome,"Best in the market 😍😍😍. Enjoying its feel the real bass 😌😌. Good qualities of wire, comfortable to wear, and great sound quality 🥰🥰 . Value for money 🤑🤑.",Matla,"Nov, 2019",349,95
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Brilliant,"It's a interesting product so I'm writing this after 24 hours of burn out.. so stay tuned to know the full story.. eartips are silicone tips very comfortable but doesn't stay in my ear much well, but your mileage may vary.. build is great but after receiving my item I noticed scuffs and nylons coming off a little from the part near 3.5 mm port.. otherwise it's built really well.. speakers for calls is tremendous easily putting mi basics to shame.. it's great for people like me who talks a lot...",Bankura,"Feb, 2020",408,116
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Classy product,Ordered 2 for my sis and my self. Good built quality. Bass Triple are well balanced. Producing wow sound effects with Power amp music player app. Comfortable fit. thanks for extra ear bud. Well and premium packing. On time delivery. Another gadget in my laptop.,Chennai,"Mar, 2020",187,48
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Simply awesome,What a immersive experience on the headphones...when i listen music on them it feels like i'm sitting in any live show... best sound quality i've ever experienced on this price range.  superb realme it wroth the price.. Its looks are also cool to see with yellow lines. The button of the remote are tactile and easy to use and differentiate. The sound goes to extreme volume no trouble after long hours of use.,Rewa,"Nov, 2019",140,36
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,3,Fair,"Bass is awesome, a little extra, so people who like bass will love this, I personally like a balanced sound signature, so bass can be turned down just a notch, but treble is waaaayyy too high. It really ruins the experience, it hurts my ears. Mids are pretty good. Build quality is decent. Too much treble ruins the sound quality, that's why 3 stars. If treble was balanced then would have given it 4 or even 5 maybe.",Kolkata,"May, 2020",111,44
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,1,Worthless,"After using 3 months, having mike issues. When you are playing songs it's good but when you are on call it's not a worthy enough",Ghaziabad,"May, 2020",264,320
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,2,Bad quality,"seriously abnormal bass guys...which is a big. negative about this earpiece ... ..i dont know why nobody paid attention to this bass boost feature , which is  annoying. ...you will never be able to listen to the originally recorded song ....but  will  hear  abnormal extreme bass in every song you play ..which may not be pleasing ....and you want to turn off the feature ...but you can not  coz it is a default  feature in this earpiece...sound clarity is good ..build also good .......but i wil...",Chandigarh,"Jun, 2020",344,525
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,1,Very poor,"It's sound fill like ,that I bought a local 50 RS head phone.befour I bought this earphones I used boot220 earphone it's a extremely good earphone and second thing when I open fast time the box after delivery,I saw  that, the ear phone Wear cut out and their are no warranty card.",Kolkata,"Aug, 2020",147,466
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Simply awesome,I just want to say thatIf you are a bass lover then purchase it instantly 🤗The bass quality is really really awesome And also the vocals are very clear The overall sound quality is perfect and better than I expected Design and build quality is perfect And also mic quality is very good The quality of wire is decent 👌I am using this from more than 2 months And I recommend this to everyone in this price segment,New Delhi,"Jan, 2020",76,7
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Mind-blowing purchase,"Wohooo😍Just AwesomeIf you are confused, I'm here for youThere is two best earphones in this price segments1)Boat2)Realme Differences:- Boat is cheaper                        Realme has magnetic design which helps you to keep the earbuds magnetic attachedSimilarities :- both have awesome build quality, best in this price segmentsYou can purchase any of these two earphonesJust go and check their designs. If you like the design of boat purchase it. Or if you like the design of realme...",Murshidabad District,"Feb, 2020",55,7
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Classy product,The Sound quality is superb and the base quality is also good ..The point thing which I liked in this earphone is that its durability ..the wire quality is good ..before I was using the sennheiser cx275 ..the wire got cut from middle ..I am happy with this earphones.,Mumbai,"Jan, 2020",21,11
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5,Simply awesome,Pros: 1.Sound is crisp and Clear 2.Bass is Awsome 3.Design and build quality excellent4.Cable organizer is usefull to carry pick up your earphone safetly5.Call quality is clearly delivered to whos speak with uscons:1. its a straight cable not triangle2.Not Gold plated 3.5mm Jack,Chennai,"Dec, 2019",24,8
